610448,8369263756632563,632910392,29.4
997208,8369263756632563,278266679,49.99
997208,7262170348080494,278266679,49.99
759658,7262170348080494,573794972,36.99
759658,7722055557038194,573794972,36.99
317808,4280852170163518,477365777,5.99
771854,4280852170163518,694165761,49.99
604665,5058732129957127,510650809,259.99
997208,5058732129957127,278266679,49.99
997208,6431399815998774,278266679,49.99
317808,6431399815998774,477365777,5.99
604665,6431399815998774,510650809,259.99
759658,5791957346866373,573794972,36.99
317808,2079640804901496,477365777,5.99
771854,2079640804901496,694165761,49.99
604665,2249838395290890,510650809,259.99
997208,2249838395290890,278266679,49.99
317808,7638742701884072,477365777,5.99
610448,7638742701884072,632910392,29.4
997208,5307192536865304,278266679,49.99
759658,5307192536865304,573794972,36.99
317808,8662976573169716,477365777,5.99
604665,2366621613260728,510650809,259.99
771854,9786845594710809,694165761,49.99
610448,9786845594710809,632910392,29.4
997208,6255086600405590,278266679,49.99
317808,6255086600405590,477365777,5.99
759658,5235927587417736,573794972,36.99
771854,5825547264855968,694165761,49.99
317808,5825547264855968,477365777,5.99
610448,1288301820842508,632910392,29.4
997208,1104846479586545,278266679,49.99
759658,1104846479586545,573794972,36.99
997208,2212383088430312,278266679,49.99
759658,2212383088430312,573794972,36.99
317808,2212383088430312,477365777,5.99
771854,2212383088430312,694165761,49.99
